,year,annualpctChange
0,1962,0.012
1,1963,0.012
2,1964,0.013
3,1965,0.016
4,1966,0.03
5,1967,0.028
6,1968,0.043
7,1969,0.055
8,1970,0.058
9,1971,0.043
10,1972,0.033
11,1973,0.062
12,1974,0.111
13,1975,0.091
14,1976,0.057
15,1977,0.065
16,1978,0.076
17,1979,0.113
18,1980,0.135
19,1981,0.10
20,1982,0.061
21,1983,0.032
22,1984,0.043
23,1985,0.035
24,1986,0.019
25,1987,0.037
26,1988,0.041
27,1989,0.048
28,1990,0.054
29,1991,0.042
30,1992,0.03
31,1993,0.03
32,1994,0.026
33,1995,0.028
34,1996,0.029
35,1997,0.023
36,1998,0.016
37,1999,0.022
38,2000,0.034
39,2001,0.028
40,2002,0.016
41,2003,0.023
42,2004,0.027
43,2005,0.034
44,2006,0.032
45,2007,0.029
46,2008,0.038
47,2009,-0.004
48,2010,0.016
49,2011,0.032
50,2012,0.021
51,2013,0.015
52,2014,0.016
53,2015,0.001
54,2016,0.013
55,2017,0.021
56,2018,0.024
57,2019,0.018
58,2020,0.012
59,2021,0.047
60,2022,0.08
